title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/kuba00622/my-todo-app;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/kuba00622/App2-portfolio;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/kuba00622/App3-PDF-template;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/kuba00622/App4-invoice-generation;4.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://github.com/kuba00622/App-5-api-email;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/kuba00622/App6-your-weather-api;6.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/kuba00622/App10-scraping-tours-sql;8.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://github.com/kuba00622/App15-chatbot-gpt-gui;9.png
Diary Analysis;A streamlit App which analyzes the text and shows a graph of text's positivity and negativity.;https://github.com/kuba00622/App8-book-analysis;10.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/kuba00622/App9-email-webcam-detection;11.png
Flask Job Application Form;A Flask web app to send application to the company with an SQL database backend. ;https://github.com/kuba00622/App16-flask-form;15.png
Django Job Application Form;A Django web app to send application to the company with an SQL database backend and admin page. ;https://github.com/kuba00622/App17-django-form;15.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/kuba00622/App7-weather-forecast-data-app;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/kuba00622/App13-student-managment-system;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://github.com/kuba00622/App14-student-management-system-with-mysql;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/kuba00622/App18-restaurant-menu;19.png
Hotel Booking;A program that allows to book a hotel with a terminal interface.;https://github.com/kuba00622/App11-hotel-booking;20.png
